metric,mean,mean_ci_lower,mean_ci_upper,var,var_ci_lower,var_ci_upper
steady_state_error,-0.06695744860363444,-0.07997456925803278,-0.053940327949236096,0.004372360709673923,0.003508413770546142,0.005236307648801705
mean_square_error,0.2926128093809885,0.28745166948235146,0.2977739492796255,0.0006384042838887865,0.0005211195834155177,0.0007556889843620552
overshoot,0.027828528592380188,0.01437592404865606,0.04128113313610432,0.004796251627726523,0.0037111964835628815,0.005881306771890165
rise_time,3933.90417,3831.551119715418,4036.2572202845818,283394.6114173737,233316.91654901873,333472.30628572864
settling_time,2890.64282,2829.756392772755,2951.529247227245,86428.20238070707,71257.21224025836,101599.19252115577
comfort_time,11508.263780000001,11450.943829866384,11565.583730133618,86928.77795464647,71334.63213409517,102522.92377519778
energy_consumed,0.8140290336855112,0.778179333082827,0.8498787342881953,0.03211219228415518,0.025954820594579143,0.03826956397373122
variance_after_settling,0.016290769683885792,0.015500932828883577,0.01708060653888801,1.556901682478429e-05,1.1187402160522945e-05,1.9950631489045632e-05
recovery_time,,,,,,
number_of_oscillations,2.89795,1.6593856595750263,4.136514340424974,42.70103636363636,11.259762612166902,74.14231011510583
