metric,mean,mean_ci_lower,mean_ci_upper,var,var_ci_lower,var_ci_upper
steady_state_error,0.0492655634740035,0.03313079925856135,0.06540032768944565,0.005708774183608268,0.0027568509544584584,0.008660697412758078
mean_square_error,0.7697571715372454,0.28682915950781696,1.252685183566674,5.917257080891904,-0.6683673400237087,12.502881501807517
overshoot,0.11157327522053316,0.05458272104059802,0.1685638294004683,0.08674336727802213,-0.019912311727033533,0.1933990462830778
rise_time,2219.162724489796,2041.5098382020838,2396.815610777508,818575.5947380603,86918.321429122,1550232.8680469985
settling_time,2310.4596741573037,1905.6653008158169,2715.2540474987904,3696147.3560960162,556416.9117677617,6835877.80042427
comfort_time,11817.81074,11330.07517159994,12305.546308400062,5983192.679487878,1337890.9946687883,10628494.364306968
energy_consumed,1.5846257255666534,1.31982288095764,1.8494285701756668,1.8101532302793235,0.8882288163985099,2.732077644160137
variance_after_settling,0.00896392656228371,0.007940201708695959,0.00998765141587146,2.3928162122567492e-05,4.955413741147729e-06,4.2900910503987255e-05
recovery_time,524.7318417721518,262.2785072638032,787.1851762805004,1329560.6105282377,215727.83742718422,2443393.3836292913
number_of_oscillations,1.30817,1.1688697586523342,1.4474702413476659,0.5171110101010101,0.35340171428858047,0.6808203059134398
